"","year","seas","index","obs","se"
"61",2017,8.5,"bioCdSurv",4.743,0.89
"62",2018,8.5,"bioCdSurv",8,1.22
"63",2019,8.5,"bioCdSurv",8.03,1.17
"64",2020,8.5,"bioCdSurv",4.54327998590249,0.634951563891452
"65",1985,8.5,"PtGFS",10.97,0.748
"66",1986,8.5,"PtGFS",17.7,1.233
"67",1987,8.5,"PtGFS",8.61,0.878
"68",1988,8.5,"PtGFS",15.33,1.683
"69",1989,8.5,"PtGFS",8.39,0.537
"70",1990,8.5,"PtGFS",11.79,0.959
"71",1991,8.5,"PtGFS",20.94,4.327
"72",1992,8.5,"PtGFS",11.71,1.677
"73",1993,8.5,"PtGFS",5.54,0.797
"74",1994,8.5,"PtGFS",9.86,1.049
"75",1995,8.5,"PtGFS",14.8,1.686
"76",1996,8.5,"PtGFS",9.24,1.088
"77",1997,8.5,"PtGFS",24.56,9.331
"78",1998,8.5,"PtGFS",15.57,2.03
"79",1999,8.5,"PtGFS",11.62,1.455
"80",2000,8.5,"PtGFS",11.81,1.784
"81",2001,8.5,"PtGFS",15.56,2.752
"82",2002,8.5,"PtGFS",13.01,2.055
"83",2003,8.5,"PtGFS",9.77,1.011
"84",2004,8.5,"PtGFS",18.45,3.33
"85",2005,8.5,"PtGFS",19.02,1.913
"86",2006,8.5,"PtGFS",16.54,1.816
"87",2007,8.5,"PtGFS",25.84,2.789
"88",2008,8.5,"PtGFS",34.6,4.254
"89",2009,8.5,"PtGFS",37.47,4.363
"90",2010,8.5,"PtGFS",38.2,4.34
"91",2011,8.5,"PtGFS",18.72,1.472
"92",2013,8.5,"PtGFS",35.2,3.4
"93",2014,8.5,"PtGFS",17.1,1.5
"94",2015,8.5,"PtGFS",37.2,4.3
"95",2016,8.5,"PtGFS",18.7,1.5
"96",2017,8.5,"PtGFS",19.7,2.6
"97",2018,8.5,"PtGFS",18.06,3.284
"98",2021,8.5,"PtGFS",21.275701007965,2.67329910682501
"99",2003,6,"SpCPUE_trawlers",0.514213964492814,0.0915496972544725
"100",2004,6,"SpCPUE_trawlers",0.328435870755041,0.0569813502660577
"101",2005,6,"SpCPUE_trawlers",0.545968837246509,0.0900428715306327
"102",2006,6,"SpCPUE_trawlers",0.783074855386325,0.133206615066607
"103",2007,6,"SpCPUE_trawlers",0.886379436125686,0.148335612649855
"104",2008,6,"SpCPUE_trawlers",0.889239139269889,0.152986700033352
"105",2009,6,"SpCPUE_trawlers",1.00783215051462,0.169230432866704
"106",2010,6,"SpCPUE_trawlers",1.31397790169023,0.217843796861211
"107",2011,6,"SpCPUE_trawlers",1.49915722315476,0.240623426442548
"108",2012,6,"SpCPUE_trawlers",0.896214029242999,0.146097473532009
"109",2013,6,"SpCPUE_trawlers",1.11287907181196,0.181086125267378
"110",2014,6,"SpCPUE_trawlers",0.927741614516511,0.152487938366034
"111",2015,6,"SpCPUE_trawlers",0.9583447985461,0.155773230387921
"112",2016,6,"SpCPUE_trawlers",1.19510150698995,0.19981137372358
"113",2017,6,"SpCPUE_trawlers",0.859854632556508,0.140285615971832
"114",2018,6,"SpCPUE_trawlers",0.744520831256682,0.130646997989758
"115",2019,6,"SpCPUE_trawlers",1.28662873189328,0.236426848877121
"116",2020,6,"SpCPUE_trawlers",0.788724241918076,0.198975310242273
"117",2021,6,"SpCPUE_trawlers",0.848661005671708,0.149829410773915
"118",2009,6,"SpCPUE_volpal",1.15713494727104,0.0898457274587887
"119",2010,6,"SpCPUE_volpal",1.17495586087055,0.0915368811369073
"120",2011,6,"SpCPUE_volpal",1.06646963017426,0.0839733157642152
"121",2012,6,"SpCPUE_volpal",0.833234023687759,0.0651993383881812
"122",2013,6,"SpCPUE_volpal",0.826857953900646,0.0667568956668683
"123",2014,6,"SpCPUE_volpal",1.05946770589684,0.0818444863724419
"124",2015,6,"SpCPUE_volpal",0.874404451777665,0.0671278778725949
"125",2016,6,"SpCPUE_volpal",0.904754615161485,0.0695911531721712
"126",2017,6,"SpCPUE_volpal",0.908797668080079,0.0705572274647741
"127",2018,6,"SpCPUE_volpal",0.926943944547127,0.0718991014436152
"128",2019,6,"SpCPUE_volpal",0.996999474230973,0.0778382883233499
"129",2020,6,"SpCPUE_volpal",1.04464947641328,0.0817866097628592
"130",2021,6,"SpCPUE_volpal",1.04367912376547,0.0810139809862585
